Northern Hemisphere Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Anomaly
196610,0.16
196611,0.16
196612,0.11
196701,0.03
196702,-0.05
196703,0.06
196704,0.05
196705,0.17
196706,0.17
196707,0.19
196708,0.28
196709,0.16
196710,0.09
196711,0.05
196712,-0.02
196801,-0.09
196802,-0.05
196803,-0.05
196804,0.03
196805,0.08
196806,0.20
196807,0.16
196808,0.14
196809,0.15
196810,0.16
196811,0.15
196812,0.16
196901,0.29
196902,0.27
196903,0.22
196904,0.23
196905,0.27
196906,0.14
196907,0.16
196908,0.18
196909,0.19
196910,0.06
196911,0.07
196912,0.10
197001,0.08
197002,0.08
197003,0.08
197004,0.13
197005,0.11
197006,0.07
197007,-0.03
197008,0.05
197009,0.03
197010,0.00
197011,-0.01
197012,-0.07
197101,-0.07
197102,-0.14
197103,-0.17
197104,-0.12
197105,-0.16
197106,-0.18
197107,-0.09
197108,-0.15
197109,-0.24
197110,-0.27
197111,-0.23
197112,-0.21
197201,-0.26
197202,-0.14
197203,-0.14
197204,-0.04
197205,0.00
197206,0.03
197207,0.08
197208,-0.01
197209,-0.02
197210,0.03
197211,0.05
197212,0.11
197301,0.11
197302,0.15
197303,0.12
197304,0.07
197305,0.10
197306,0.05
197307,0.04
197308,-0.01
197309,-0.06
197310,-0.08
197311,-0.11
197312,-0.17
197401,-0.14
197402,-0.10
197403,-0.14
197404,-0.19
197405,-0.18
197406,-0.16
197407,-0.14
197408,-0.08
197409,-0.08
197410,-0.09
197411,-0.12
197412,-0.11
197501,-0.05
197502,-0.05
197503,-0.10
197504,-0.13
197505,-0.11
197506,-0.14
197507,-0.08
197508,-0.12
197509,-0.16
197510,-0.20
197511,-0.27
197512,-0.26
197601,-0.24
197602,-0.22
197603,-0.17
197604,-0.16
197605,-0.21
197606,-0.12
197607,-0.11
197608,-0.09
197609,-0.13
197610,-0.03
197611,-0.05
197612,-0.03
197701,0.06
197702,0.07
197703,0.08
197704,0.02
197705,0.04
197706,0.12
197707,0.13
197708,0.16
197709,0.20
197710,0.19
197711,0.09
197712,0.15
197801,0.19
197802,0.15
197803,0.11
197804,0.06
197805,0.00
197806,0.02
197807,0.10
197808,0.05
197809,0.06
197810,0.09
197811,0.07
197812,0.12
197901,0.20
197902,0.14
197903,0.18
197904,0.16
197905,0.09
197906,0.22
197907,0.14
197908,0.21
197909,0.24
197910,0.19
197911,0.20
197912,0.29
198001,0.31
198002,0.21
198003,0.22
198004,0.16
198005,0.21
